"","workerid","trial","utterance","sceanrio","response","context","sentence_type","language"
"294",48,3,"big","move",0.03,"regular","dist","English"
"295",49,1,"tall","inspect",0.51,"regular","dist","english"
"296",49,1,"tall","inspect",0.51,"regular","coll","english"
"297",49,2,"heavy","inspect",0.48,"regular","coll","english"
"298",49,2,"heavy","inspect",0.48,"regular","dist","english"
"299",49,3,"big","inspect",0.52,"regular","coll","english"
"300",49,3,"big","inspect",0.52,"regular","dist","english"
"301",50,1,"heavy","inspect",0.89,"regular","coll","English"
"302",50,1,"heavy","inspect",0.39,"regular","dist","English"
"303",50,2,"big","inspect",0.39,"regular","coll","English"
"304",50,2,"big","inspect",0.79,"regular","dist","English"
"305",50,3,"tall","inspect",0.01,"regular","dist","English"
"306",50,3,"tall","inspect",0.99,"regular","coll","English"
"307",51,1,"big","move",0.47,"regular","dist","English"
"308",51,1,"big","move",1,"regular","coll","English"
"309",51,2,"tall","move",0,"regular","dist","English"
"310",51,2,"tall","move",1,"regular","coll","English"
"311",51,3,"heavy","move",0.2,"regular","dist","English"
"312",51,3,"heavy","move",1,"regular","coll","English"
"313",52,1,"heavy","move",0.6,"random","coll","English"
"314",52,1,"heavy","move",0.24,"random","dist","English"
"315",52,2,"tall","move",0.42,"random","dist","English"
"316",52,2,"tall","move",0.59,"random","coll","English"
"317",52,3,"big","move",0.27,"random","coll","English"
"318",52,3,"big","move",0.77,"random","dist","English"
"319",53,1,"big","move",0.16,"random","dist","english"
"320",53,1,"big","move",0.97,"random","coll","english"
"321",53,2,"tall","move",0.4,"random","coll","english"
"322",53,2,"tall","move",0.95,"random","dist","english"
"323",53,3,"heavy","move",0.53,"random","dist","english"
"324",53,3,"heavy","move",0.95,"random","coll","english"
"325",54,1,"big","move",0.91,"regular","dist","english"
"326",54,1,"big","move",0.06,"regular","coll","english"
"327",54,2,"heavy","move",0.07,"regular","coll","english"
"328",54,2,"heavy","move",0.93,"regular","dist","english"
"329",54,3,"tall","move",0.08,"regular","coll","english"
"330",54,3,"tall","move",0.91,"regular","dist","english"
"331",55,1,"tall","inspect",0.98,"regular","coll","English"
"332",55,1,"tall","inspect",0.03,"regular","dist","English"
"333",55,2,"heavy","inspect",0.48,"regular","dist","English"
"334",55,2,"heavy","inspect",0.96,"regular","coll","English"
"335",55,3,"big","inspect",0.53,"regular","dist","English"
"336",55,3,"big","inspect",0.99,"regular","coll","English"
"337",56,1,"heavy","inspect",0.76,"random","dist","English"
"338",56,1,"heavy","inspect",0.21,"random","coll","English"
"339",56,2,"tall","inspect",0.84,"random","dist","English"
"340",56,2,"tall","inspect",0.19,"random","coll","English"
"341",56,3,"big","inspect",0.74,"random","dist","English"
"342",56,3,"big","inspect",0.16,"random","coll","English"
"343",57,1,"heavy","inspect",0.22,"regular","coll","English"
"344",57,1,"heavy","inspect",0.86,"regular","dist","English"
"345",57,2,"tall","inspect",0.2,"regular","dist","English"
"346",57,2,"tall","inspect",0.87,"regular","coll","English"
"347",57,3,"big","inspect",0.15,"regular","coll","English"
"348",57,3,"big","inspect",0.57,"regular","dist","English"
"349",58,1,"tall","inspect",0.62,"regular","dist","English"
"350",58,1,"tall","inspect",0.69,"regular","coll","English"
"351",58,2,"heavy","inspect",0.18,"regular","coll","English"
"352",58,2,"heavy","inspect",0.18,"regular","dist","English"
"353",58,3,"big","inspect",0.21,"regular","dist","English"
"354",58,3,"big","inspect",0.25,"regular","coll","English"
"355",59,1,"heavy","move",0.7,"random","coll","english"
"356",59,1,"heavy","move",0.58,"random","dist","english"
"357",59,2,"big","move",0.76,"random","coll","english"
"358",59,2,"big","move",0.14,"random","dist","english"
"359",59,3,"tall","move",0.61,"random","coll","english"
"360",59,3,"tall","move",0.32,"random","dist","english"
"361",60,1,"tall","move",0.76,"regular","coll","English"
"362",60,1,"tall","move",0.14,"regular","dist","English"
"363",60,2,"heavy","move",0.86,"regular","coll","English"
"364",60,2,"heavy","move",0.22,"regular","dist","English"
"365",60,3,"big","move",0.74,"regular","coll","English"
"366",60,3,"big","move",0.31,"regular","dist","English"
"373",62,1,"tall","move",0.86,"regular","coll","English"
"374",62,1,"tall","move",0.5,"regular","dist","English"
"375",62,2,"big","move",0.82,"regular","dist","English"
"376",62,2,"big","move",0.84,"regular","coll","English"
"377",62,3,"heavy","move",0.05,"regular","coll","English"
"378",62,3,"heavy","move",0.06,"regular","dist","English"
"379",63,1,"big","inspect",0.69,"random","coll","english"
"380",63,1,"big","inspect",0.07,"random","dist","english"
"381",63,2,"heavy","inspect",0.12,"random","coll","english"
"382",63,2,"heavy","inspect",0.89,"random","dist","english"
"383",63,3,"tall","inspect",0.1,"random","coll","english"
"384",63,3,"tall","inspect",0.33,"random","dist","english"
"385",64,1,"big","inspect",0.73,"random","coll","English"
"386",64,1,"big","inspect",0.53,"random","dist","English"
"387",64,2,"tall","inspect",0.58,"random","coll","English"
"388",64,2,"tall","inspect",0.42,"random","dist","English"
"389",64,3,"heavy","inspect",0.54,"random","coll","English"
"390",64,3,"heavy","inspect",0.53,"random","dist","English"
"391",65,1,"tall","move",0.21,"regular","dist","English"
"392",65,1,"tall","move",1,"regular","coll","English"
"393",65,2,"heavy","move",0.44,"regular","coll","English"
"394",65,2,"heavy","move",0.98,"regular","dist","English"
"395",65,3,"big","move",0.5,"regular","coll","English"
"396",65,3,"big","move",0.5,"regular","dist","English"
"397",66,1,"heavy","move",0.2,"regular","dist","English"
"398",66,1,"heavy","move",0.88,"regular","coll","English"
"399",66,2,"tall","move",0.12,"regular","dist","English"
"400",66,2,"tall","move",0.96,"regular","coll","English"
"401",66,3,"big","move",0.01,"regular","dist","English"
"402",66,3,"big","move",0.98,"regular","coll","English"
"403",67,1,"big","move",0.01,"random","coll","english"
"404",67,1,"big","move",0.98,"random","dist","english"
"405",67,2,"heavy","move",0.26,"random","coll","english"
"406",67,2,"heavy","move",0.84,"random","dist","english"
"407",67,3,"tall","move",0.13,"random","coll","english"
"408",67,3,"tall","move",0.92,"random","dist","english"
"409",68,1,"tall","inspect",0.27,"random","coll","English"
"410",68,1,"tall","inspect",0.84,"random","dist","English"
"411",68,2,"heavy","inspect",0.88,"random","coll","English"
"412",68,2,"heavy","inspect",0.05,"random","dist","English"
"413",68,3,"big","inspect",0.76,"random","coll","English"
"414",68,3,"big","inspect",0.68,"random","dist","English"
"415",69,1,"heavy","inspect",0.89,"random","dist","english"
"416",69,1,"heavy","inspect",0.75,"random","coll","english"
"417",69,2,"tall","inspect",0.93,"random","dist","english"
"418",69,2,"tall","inspect",0.83,"random","coll","english"
"419",69,3,"big","inspect",0.9,"random","coll","english"
"420",69,3,"big","inspect",0.88,"random","dist","english"
"421",70,1,"heavy","inspect",0.54,"random","coll","english"
"422",70,1,"heavy","inspect",0.81,"random","dist","english"
"423",70,2,"tall","inspect",0.26,"random","dist","english"
"424",70,2,"tall","inspect",0.81,"random","coll","english"
"425",70,3,"big","inspect",0.43,"random","coll","english"
"426",70,3,"big","inspect",0.61,"random","dist","english"
"427",71,1,"big","move",0.84,"regular","dist","English"
"428",71,1,"big","move",0.42,"regular","coll","English"
"429",71,2,"heavy","move",0.3,"regular","coll","English"
"430",71,2,"heavy","move",0.79,"regular","dist","English"
"431",71,3,"tall","move",0.21,"regular","coll","English"
"432",71,3,"tall","move",0.72,"regular","dist","English"
"433",72,1,"heavy","inspect",0.96,"regular","coll","English"
"434",72,1,"heavy","inspect",0.4,"regular","dist","English"
"435",72,2,"big","inspect",0.62,"regular","coll","English"
"436",72,2,"big","inspect",0.12,"regular","dist","English"
"437",72,3,"tall","inspect",0.12,"regular","dist","English"
"438",72,3,"tall","inspect",0.85,"regular","coll","English"
"439",73,1,"heavy","inspect",0.06,"random","coll","English"
"440",73,1,"heavy","inspect",0.91,"random","dist","English"
"441",73,2,"big","inspect",0.06,"random","dist","English"
"442",73,2,"big","inspect",0.91,"random","coll","English"
"443",73,3,"tall","inspect",0.85,"random","coll","English"
"444",73,3,"tall","inspect",0.05,"random","dist","English"
"445",74,1,"tall","move",0.18,"random","dist","English"
"446",74,1,"tall","move",0.77,"random","coll","English"
"447",74,2,"heavy","move",1,"random","coll","English"
"448",74,2,"heavy","move",0.14,"random","dist","English"
"449",74,3,"big","move",0.69,"random","dist","English"
"450",74,3,"big","move",0.14,"random","coll","English"
"451",75,1,"big","inspect",0.25,"random","dist","English"
"452",75,1,"big","inspect",0.47,"random","coll","English"
"453",75,2,"heavy","inspect",0.38,"random","dist","English"
"454",75,2,"heavy","inspect",0.45,"random","coll","English"
"455",75,3,"tall","inspect",0.67,"random","dist","English"
"456",75,3,"tall","inspect",0.66,"random","coll","English"
"457",76,1,"tall","move",0.22,"regular","dist","English"
"458",76,1,"tall","move",0.72,"regular","coll","English"
"459",76,2,"big","move",0.34,"regular","coll","English"
"460",76,2,"big","move",0.52,"regular","dist","English"
"461",76,3,"heavy","move",0.88,"regular","coll","English"
"462",76,3,"heavy","move",0.09,"regular","dist","English"
"463",77,1,"tall","move",0.4,"random","coll","English"
"464",77,1,"tall","move",0.67,"random","dist","English"
"465",77,2,"big","move",0.27,"random","coll","English"
"466",77,2,"big","move",0.73,"random","dist","English"
"467",77,3,"heavy","move",0.71,"random","dist","English"
"468",77,3,"heavy","move",0.28,"random","coll","English"
"469",78,1,"big","move",0.67,"regular","dist","English"
"470",78,1,"big","move",0.92,"regular","coll","English"
"471",78,2,"heavy","move",0.94,"regular","coll","English"
"472",78,2,"heavy","move",0.58,"regular","dist","English"
"473",78,3,"tall","move",0.69,"regular","dist","English"
"474",78,3,"tall","move",0.86,"regular","coll","English"
"475",79,1,"heavy","inspect",0.31,"random","coll","English"
"476",79,1,"heavy","inspect",0.78,"random","dist","English"
"477",79,2,"big","inspect",0.72,"random","dist","English"
"478",79,2,"big","inspect",0.14,"random","coll","English"
"479",79,3,"tall","inspect",0.83,"random","dist","English"
"480",79,3,"tall","inspect",0.17,"random","coll","English"
