Item_ID	Sentence	Determiner	Noun	Predicate	Subject	SubjectLength	SubjectParse
37622:4	both men were dubious about how long someone would be able to endure in the winter, equally they could think of no alternative.	both	men	dubious	both men	2	(NP (DT Both) (NNS men))
39802:7	here the streets were alive with the chatter of tongues from all over europe and the middle east -- the central meeting place of cultures, philosophies and religions, in which many found their roots.	the	streets	alive	the streets	2	(NP (DT the) (NNS streets))
39813:80	here he could live in virtually complete seclusion, at a fraction of the cost it would take in northern europe or canada; where the people were unconcerned as to who you were or what you did; and where breathtaking vistas opened up for the seeing -- both external and internal.	the	people	unconcerned	the people	2	(NP (DT the) (NNS people))
40195:9	further away the cliffs were higher, the strip of rocks narrower.	the	cliffs	higher	the cliffs	2	(NP (DT the) (NNS cliffs))
40362:28	remarkable, she thought, how many of these terms were familiar to quite young children.	these	terms	familiar	these terms	2	(NP (DT these) (NNS terms))
41869:23	looked at from this new angle, the smears were only smears.	the	smears	only	the smears	2	(NP (DT the) (NNS smears))
42325:11	many of the items were unobtainable.	the	items	unobtainable	the items	2	(NP (DT the) (NNS items))
46081:13	all around us the trees were heaving.	the	trees	heaving	the trees	2	(NP (DT the) (NNS trees))
46797:23	it was rather a loveless heart, the guts were dagging, and the cunt was the driest coldest and most shrivelled of cunts, if indeed cunt it was and not an asshole in disguise.	the	guts	dagging	the guts	2	(NP (DT the) (NNS guts))
47250:4	the beds were horrid filthy and full of vermin.	the	beds	horrid	the beds	2	(NP (DT The) (NNS beds))
53181:11	two-thirds of the respondents were satisfied with local bus services, while coach services won 85% approval.	the	respondents	satisfied	the respondents	2	(NP (DT the) (NNS respondents))
54051:4	the seats were simple and uncomfortable, the noise intolerable, but it still shaped a disastrous decade of short-term economy stock building that is now being regretted.	the	seats	simple	the seats	2	(NP (DT The) (NNS seats))
55159:21	they were the days when many passengers were afraid to enter a secondclass compartment believing --lrb- because of its quality --rrb- it must be a first, of a mixture of vacuum and air-braked stock, steam and electric heating, and continual development and changes with the design of bogies.	many	passengers	afraid	many passengers	2	(NP (DT many) (NNS passengers))
55163:4	the hsts were important from several points of view, not least because they marked the beginning of the end of the once strict division between locomotive-hauled and self-propelled stock.	the	hsts	important	the hsts	2	(NP (DT The) (NNS HSTs))
57920:45	camra complained to the local trading standards officers, who have agreed that the fonts were misleading.	the	fonts	misleading	the fonts	2	(NP (DT the) (NNS fonts))
59178:27	he was top-roped out to report that the difficulties were considerable.	the	difficulties	considerable	the difficulties	2	(NP (DT the) (NNS difficulties))
59661:4	the flowers were saxifraga oppositifolia, the purple saxifrage.	the	flowers	saxifraga	the flowers	2	(NP (DT The) (NNS flowers))
65809:14	they believe that the measurements were possible because of the high quality of the samples prepared by the ucla scientists.	the	measurements	possible	the measurements	2	(NP (DT the) (NNS measurements))
73238:118	it was a blessing that, in response to congratulations on the superb world championship regatta at bled in yugoslavia three weeks ago, he was able to reply," yes... and best of all, the conditions were fair throughout".	the	conditions	fair	the conditions	2	(NP (DT the) (NNS conditions))
74182:47	when smallpox was wiped out by a campaign led by the world health organisation, the campaigners were fortunate in that smallpox vaccine remains effective even when stored at relatively uncontrolled temperatures.	the	campaigners	fortunate	the campaigners	2	(NP (DT the) (NNS campaigners))
75340:4	the shares were firm at 68p.	the	shares	firm	the shares	2	(NP (DT The) (NNS shares))
76163:102	but the important thing is that there is nothing at felbrigg or nostell -- or elsewhere in national trust houses -- which closely resembles the saloon --lrb- or the drawing room --rrb- at uppark: these rooms were unique and we need them back.	these	rooms	unique	these rooms	2	(NP (DT these) (NNS rooms))
76778:18	the rally was peaceful, the slogans were angry.	the	slogans	angry	the slogans	2	(NP (DT the) (NNS slogans))
77002:22	he strongly denied the suggestion that the militias were unruly, and said they were being slowly incorporated into the regular army.	the	militias	unruly	the militias	2	(NP (DT the) (NNS militias))
77240:66	thabo mbeki, the anc's external relations director, who led the movement's delegation, said in washington yesterday that the talks were informal.	the	talks	informal	the talks	2	(NP (DT the) (NNS talks))
78338:17	dr singh said the findings were preliminary, but he would" have no objection to a woman increasing her intake of these nutrients".	the	findings	preliminary	the findings	2	(NP (DT the) (NNS findings))
78453:69	that lack of authorisation by councillors was one of the four grounds on which the auditor was trying to prove the transactions were unlawful.	the	transactions	unlawful	the transactions	2	(NP (DT the) (NNS transactions))
78787:40	among the eight extra nominations by the scottish women's aaa rejected by the selectors were sprinter janise neilson, a member of the great britain relay squad at the seoul olympics, and dawn kitchen, one of the british 4x400m squad for the european cup finals at gateshead.	the	selectors	sprinter	the selectors	2	(NP (DT the) (NNS selectors))
81249:5	the reasons were simple:" the british people are opposed to the sell-offs because they are more socially-responsible, more community-minded, more far-sighted, more patriotic than the government that governs them.	the	reasons	simple	the reasons	2	(NP (DT The) (NNS reasons))
81640:12	mr sutherland said the waters were dangerous at this time of year and contained almost no haddock.	the	waters	dangerous	the waters	2	(NP (DT the) (NNS waters))
85277:52	largely due to her courage and drive she enabled them to grow in stature so that the choirs were able to perform the major choral works drawing an audience of over 1,000 at a performance of the dream of gerontius and be broadcast with the bbc scottish symphony orchestra on three occasions.	the	choirs	able	the choirs	2	(NP (DT the) (NNS choirs))
86050:80	colin cranston, deputy firemaster in the lothian and borders brigade, said late last night his team of 60 rescuers had uncovered two cellars where any survivors were likely to be.	any	survivors	likely	any survivors	2	(NP (DT any) (NNS survivors))
86081:25	the inspectorate said the radiological consequences of both failures were negligible.	both	failures	negligible	both failures	2	(NP (DT both) (NNS failures))
86289:7	" the viewers were hungry," one member of staff said.	the	viewers	hungry	the viewers	2	(NP (DT The) (NNS viewers))
86600:4	the terms were staggering to anyone naive enough to think football was only a game.	the	terms	staggering	the terms	2	(NP (DT The) (NNS terms))
86793:10	by then both men were heavy-legged and mason's inexperience at this level of boxing looked like becoming a decisive factor until he closed in and sent the american down with a short right to the temple and then a following left hook.	both	men	heavy-legged	both men	2	(NP (DT both) (NNS men))
88248:22	it came just three weeks before the students were due to sit their examinations.	the	students	due	the students	2	(NP (DT the) (NNS students))
88982:31	amid angry parents, contradictory medical opinion over whether the signs were consistent with sexual abuse, a huge caseload, stuart bell, mp, and a baying media, children were lost to follow-up and not fully assessed.	the	signs	consistent	the signs	2	(NP (DT the) (NNS signs))
89368:140	he told the conference -- which is considering future world political, economic, social, scientific and environmental trends -- that with the relative decline in the economic importance of the united states and the diminishing military threat posed by the soviet union, the new civil super powers of the 1990s were likely to be japan and western europe.	the	1990s	likely	the 1990s	2	(NP (DT the) (NNS 1990s))
90701:40	this dodge would not be completely incredible, of course, if the participants were dense or desperate enough, but in christopher renshaw's production, they seem to be neither, and particularly not the latter.	the	participants	dense	the participants	2	(NP (DT the) (NNS participants))
91161:4	the figures were better than expected.	the	figures	better	the figures	2	(NP (DT The) (NNS figures))
93139:63	thai deputy prime minister, thienchai sirisamphan, who held three rounds of negotiations with the hijackers, told reporters all the passengers were burmese.	the	passengers	burmese	all the passengers	3	(NP (PDT all) (DT the) (NNS passengers))
94098:14	it argues that the injunctions were necessary in the public interest to prevent the concept of the security service's confidentiality being destroyed pending full argument at trial.	the	injunctions	necessary	the injunctions	2	(NP (DT the) (NNS injunctions))
95965:103	he preferred the shore, where the long vistas of rocks with their thick coverings of seaweed appeared to him as the heads of" black phantoms emerging from the underworld," and the grottos were full of strange brilliantly coloured rocks and polished white beds of gravel which seemed about" to receive the water-nymph when she emerged from the waves".	the	grottos	full	the grottos	2	(NP (DT the) (NNS grottos))
97656:73	the protests, which were overwhelmingly peaceful except for persistent violence by uniformed and plainclothes police, began late on saturday afternoon, and the ironies were plentiful.	the	ironies	plentiful	the ironies	2	(NP (DT the) (NNS ironies))
98234:37	next mr clement asks some questions about sympathy action, as though the answers were uncertain.	the	answers	uncertain	the answers	2	(NP (DT the) (NNS answers))
100445:30	it has not disclosed how much it thought these brands were worth.	these	brands	worth	these brands	2	(NP (DT these) (NNS brands))
102543:41	the problem, mr vickerman said, was to ensure that while all students were able to use technology appropriate to their subjects, some examination candidates should not be disadvantaged by having less advanced calculators than others.	all	students	able	all students	2	(NP (DT all) (NNS students))
104832:81	aspects of the" crisis", such as the separation of children from their family homes, worried and frightened them, and the possibility that the doctors were wrong brought welcome relief from the pain of child sexual abuse and precipitated denial and anger in the community.	the	doctors	wrong	the doctors	2	(NP (DT the) (NNS doctors))
105258:9	naturally, the emphases were different.	the	emphases	different	the emphases	2	(NP (DT the) (NNS emphases))
105580:32	he said the conversion would take three years and the pitfalls were unknown.	the	pitfalls	unknown	the pitfalls	2	(NP (DT the) (NNS pitfalls))
106985:80	widnes were back to a full complement of players by the time tony thorniley scored warrington's second, again from an inspired mackey pass, but the visitors were powerless to prevent the centre reaching the line from 25 yards.	the	visitors	powerless	the visitors	2	(NP (DT the) (NNS visitors))
107117:60	england defeated poland 1-0, roger hunt the goalscorer and the tenacious manner of that victory persuaded us that the possibilities were immense; of that team, only jimmy greaves would be missing from the world cup final.	the	possibilities	immense	the possibilities	2	(NP (DT the) (NNS possibilities))
107583:105	but, in the most egregious error of judgement, the film, not content with human interest, ropes in aliens as well, arriving like a deus ex machina from the ocean bed, as though the characters were unable to face their darkest selves without prodding from a benign et.	the	characters	unable	the characters	2	(NP (DT the) (NNS characters))
108688:26	but as the judge quashed the indictment, the men were re-arrested in the dock and four other charges were brought: recruiting persons for training in sabotage and guerrilla warfare for the purpose of violent revolution, conspiring to aid foreign military units when they invaded the republic, furthering the aims of communism and soliciting and receiving funds for these purposes from several countries.	the	men	re-arrested	the men	2	(NP (DT the) (NNS men))
109533:32	he added that the council, which accepts the transactions were unlawful, was not concerned with the two years of accounts --lrb- 1987-88 and 1988-89 --rrb- at issue in the case but was seeking to ensure its future position.	the	transactions	unlawful	the transactions	2	(NP (DT the) (NNS transactions))
109559:8	if the parties were drug-free they would be fine, but as soon as you go in you get offered drugs."	the	parties	drug-free	the parties	2	(NP (DT the) (NNS parties))
111233:39	anodyne though those remarks may seem, they revived the threat that the authorities were ready to take action to defend the pound.	the	authorities	ready	the authorities	2	(NP (DT the) (NNS authorities))
112282:18	he said that if the people were ready for negotiations, he wouldn't be against it.	the	people	ready	the people	2	(NP (DT the) (NNS people))
112328:7	" the disturbances were spontaneous outpourings against bad management by the ex-government" said mahmoud talhouni, known as abu ammar, a conservative politician, tribal leader and electoral candidate.	the	disturbances	spontaneous	the disturbances	2	(NP (DT The) (NNS disturbances))
113748:105	but, in the most egregious error of judgement, the film, not content with human interest, ropes in aliens as well, arriving like a deus ex machina from the ocean bed, as though the characters were unable to face their darkest selves without prodding from a benign et.	the	characters	unable	the characters	2	(NP (DT the) (NNS characters))
114460:11	" if the people were ready for negotiations, he wouldn't be against it.	the	people	ready	the people	2	(NP (DT the) (NNS people))
115489:7	" the institutions were net disinvestors in property in the second quarter of this year -- they sold more than they bought.	the	institutions	net	the institutions	2	(NP (DT The) (NNS institutions))
116030:8	soon the chicks were big enough to be out and about, and once they had left their mother, they began to exhibit her wild characteristics, wandering recklessly far up the fields into territory frequented by foxes.	the	chicks	big	the chicks	2	(NP (DT the) (NNS chicks))
118930:29	ferrari, while still convinced their arguments against the sanctions were valid, but mindful of the tradition they represent, said they wished to" remove any disturbing elements from formula one racing" during the final two races of the season in japan and australia.	the	sanctions	valid	the sanctions	2	(NP (DT the) (NNS sanctions))
119562:46	a spokesman for the british army of the rhine would not confirm or deny whether the documents were genuine, saying yesterday:" we do not comment about these matters."	the	documents	genuine	the documents	2	(NP (DT the) (NNS documents))
125915:106	reading a right-wing rather than a left-wing paper made labour identifiers 6 per cent more favourable to thatcher and 6 per cent less favourable to kinnock by the end of the campaign though the effects were smaller before that.	the	effects	smaller	the effects	2	(NP (DT the) (NNS effects))
126111:100	in our panel of voters the conservative lead over labour increased by 34 per cent amongst sun/star readers but by a mere 2 per cent amongst mirror readers, which suggests the tabloids were able to influence their readers.	the	tabloids	able	the tabloids	2	(NP (DT the) (NNS tabloids))
127232:9	yet all these trends were eccentric, neither pulling the bulk of the intelligentsia with them, nor penetrating to the heart of peasant psychology.	these	trends	eccentric	all these trends	3	(NP (PDT all) (DT these) (NNS trends))
127489:32	at the end of february news filtered in that no peasants were willing to join the military ranks, and there were quite a few desertions.	no	peasants	willing	no peasants	2	(NP (DT no) (NNS peasants))
127807:14	this meant that the localities were overstaffed with poorly paid semiliterates at the receiving end of an ever-growing mountain of paperwork from the hyperactive guberniia towns and from moscow.	the	localities	overstaffed	the localities	2	(NP (DT the) (NNS localities))
128252:5	the results were beneficent, but less well handled were the reverse migration procedures ordered by pomgol on 15 march 1922.	the	results	beneficent	the results	2	(NP (DT The) (NNS results))
128389:20	if even only some of these criticisms were true, then national leadership in the agricultural sphere, and above all the subjugation of the famine, was in precarious hands.	these	criticisms	true	these	1	(NP (DT these))
128470:10	in fact both networks were subject to heavy political intervention.	both	networks	subject	both networks	2	(NP (DT both) (NNS networks))
129592:7	however the birds were spectacular.	the	birds	spectacular	the birds	2	(NP (DT the) (NNS birds))
129624:4	the flowers were amazing.	the	flowers	amazing	the flowers	2	(NP (DT The) (NNS flowers))
129835:17	however in this second week the mountains were beckoning.	the	mountains	beckoning	the mountains	2	(NP (DT the) (NNS mountains))
131069:5	the unions were acquiescent; other than in northern ireland, there was no overt social conflict.	the	unions	acquiescent	the unions	2	(NP (DT The) (NNS unions))
132096:35	the decline in britain's manufacturing base was indisputable, though the causes were open to scholarly debate.	the	causes	open	the causes	2	(NP (DT the) (NNS causes))
134816:4	the sermons were livelier, for the resident minister carter was a cultivated man.	the	sermons	livelier	the sermons	2	(NP (DT The) (NNS sermons))
135520:20	he dreamed a lot and the dreams were perturbing.	the	dreams	perturbing	the dreams	2	(NP (DT the) (NNS dreams))
135583:119	that the house of commons, which had its share of agnostics and non-anglicans, should order the church how to worship god was an interference by the state in the affairs of the church, just where those affairs were sacred and touched the conscience.	those	affairs	sacred	those affairs	2	(NP (DT those) (NNS affairs))
135625:12	near the docks the inhabitants were poor dock labourers.	the	inhabitants	poor	the inhabitants	2	(NP (DT the) (NNS inhabitants))
135627:15	higher up the hill the streets were full of office buildings, so that the parishioners were caretakers.	the	streets	full	the streets	2	(NP (DT the) (NNS streets))
135631:6	both these churches were remote and estranged.	these	churches	remote	both these churches	3	(NP (PDT Both) (DT these) (NNS churches))
136126:4	the rooms were vast.	the	rooms	vast	the rooms	2	(NP (DT The) (NNS rooms))
136480:4	the others were ignorant and prejudiced.	the	others	ignorant	the others	2	(NP (DT The) (NNS others))
136734:4	these quarrels were rare.	these	quarrels	rare	these quarrels	2	(NP (DT These) (NNS quarrels))
136763:11	some of the articles were hard for the layman to follow and quite hard for some clergymen to follow.	the	articles	hard	the articles	2	(NP (DT the) (NNS articles))
138467:79	they were known to our predecessors at the time and were expounded by them as clearly then as we can demonstrate them now; for the reasons were implicit in the facts of the world in 1900.	the	reasons	implicit	the reasons	2	(NP (DT the) (NNS reasons))
138510:76	unlike the mother-country and its dependencies, above all india, the self-governing colonies were protectionist; but they were now prepared, and indeed in some cases were anxious, to afford the mother-country preferential treatment within their tariff system if the mother-country would reciprocate.	some	cases	anxious	some cases	2	(NP (DT some) (NNS cases))
139400:15	if one of these things were missing, i couldn't do it.	these	things	missing	these things	2	(NP (DT these) (NNS things))
142694:20	but to baudelaire, alone, these things were real."	these	things	real	these things	2	(NP (DT these) (NNS things))
143755:5	the films were real" bad" -- plenty action and thing -- and with alfred there, our thoughts would gather together and sweep across the screen creating trinidad out of china.	the	films	real	the films	2	(NP (DT The) (NNS films))
143829:44	gradually it began to dawn on me that while in the celluloid world all things were possible, in the other world it was quite a different story.	all	things	possible	all things	2	(NP (DT all) (NNS things))
143941:15	i thought that the ribbons were beautiful, all the colours of the bunch of flowers painted on the cover.	the	ribbons	beautiful	the ribbons	2	(NP (DT the) (NNS ribbons))
150531:91	a telling statistic in a recent election study by rose and mcallister is that, whereas in 196480 per cent of those who came from homes in which both parents were labour voters themselves voted for the party, by 1983 the proportion from such backgrounds which still voted labour had dropped to 45 per cent.	both	parents	labour	both parents	2	(NP (DT both) (NNS parents))
150959:28	although the king's intentions were not partisan, the consequences were such as to offer very considerable benefit to the conservative party.	the	consequences	such	the consequences	2	(NP (DT the) (NNS consequences))
151421:26	in conditions of general" dollar shortage" the effects were likely to be significant.	the	effects	likely	the effects	2	(NP (DT the) (NNS effects))
154056:43	she could not restrain a flash of pride in her physical fitness; all the nurses were smaller than she was and, although they were prettier, she felt her dignity and certainty returning.	the	nurses	smaller	all the nurses	3	(NP (PDT all) (DT the) (NNS nurses))
158060:6	" the gates were closed.	the	gates	closed	the gates	2	(NP (DT The) (NNS gates))
158169:4	the girls were able to laugh openly at last without any risk.	the	girls	able	the girls	2	(NP (DT The) (NNS girls))
158444:4	both women were glad to let the conversation drop.	both	women	glad	both women	2	(NP (DT Both) (NNS women))
158535:12	she thought the mutterings were comical.	the	mutterings	comical	the mutterings	2	(NP (DT the) (NNS mutterings))
159184:9	when the children were young we went there every year."	the	children	young	the children	2	(NP (DT the) (NNS children))
159443:7	all the girls were skilled at farm work, work they had done since they were very young.	the	girls	skilled	all the girls	3	(NP (PDT All) (DT the) (NNS girls))
159877:55	so as not to have to watch the empty road for the postman on the day that the results were due each girl went separately deep into the fields but they weren't able to stay alone for long; and each time they came back to the road it was still empty.	the	results	due	the results	2	(NP (DT the) (NNS results))
163234:95	what mattered to marx and engels was therefore not so much the specific history which had produced these concepts, but the fact that they had a history at all, that the concepts were dependent on the type of society and economy in which they occurred.	the	concepts	dependent	the concepts	2	(NP (DT the) (NNS concepts))
163819:4	the slopes were gentle and convex like the outer optic of a huge fish-eye lens.	the	slopes	gentle	the slopes	2	(NP (DT The) (NNS slopes))
165192:19	the sky was clear, the stars were beautiful and the snow creaked underfoot.	the	stars	beautiful	the stars	2	(NP (DT the) (NNS stars))
167386:4	the symptoms were bleary eyes, pain in the head, loss of weight, sleeplessness, and for the men impotency.	the	symptoms	bleary	the symptoms	2	(NP (DT The) (NNS symptoms))
167999:64	at home, money meant food or perhaps, if one had saved a lot, more land, but here the shops were full of the most amazing commodities and getting money at the end of the week seemed to suggest that these things were within one's reach.	the	shops	full	the shops	2	(NP (DT the) (NNS shops))
168067:6	all the machines were archaic with no proper safeguards, e.g. guillotines, spring-making machines and other similar machines with a cutting edge had no automatic stopping device.	the	machines	archaic	all the machines	3	(NP (PDT All) (DT the) (NNS machines))
168381:108	as the socialist challenge pamphlet the battle of grunwick commented," it was not made clear whether the tuc condoned the use of" unnecessary force" against non bona fide pickets or whether it thought the police were justified in using necessary force.	the	police	justified	the police	2	(NP (DT the) (NNS police))
176751:33	it was a thick wad and although most of the notes were green, some were blue.	the	notes	green	the notes	2	(NP (DT the) (NNS notes))
177190:5	the sobs were uncontrollable and she gave a long piteous cry.	the	sobs	uncontrollable	the sobs	2	(NP (DT The) (NNS sobs))
178580:61	and they always did, no matter how rich they were; no matter, come to that, if the wives were richer or bigger than the husbands.	the	wives	richer	the wives	2	(NP (DT the) (NNS wives))
182782:101	and then we got to school and it was all big and confusing and there was all these boys i'd never seen before, all with their parents and some of the kids were weird-looking with funny eyes.	the	kids	weird-looking	the kids	2	(NP (DT the) (NNS kids))
184011:58	before a successful method for dieting is assumed to have been found it must be realized that the effects were small and that the difference might reflect the greater energy expended by those who ate in the morning.	the	effects	small	the effects	2	(NP (DT the) (NNS effects))
186900:79	the practice in medieval times was to house all of the grain crops in the barn, using ricks as a last resort only when the barns were full.	the	barns	full	the barns	2	(NP (DT the) (NNS barns))
186921:94	this" lift", as it is called, enabled the foot of the doors to clear the manure in the yard and kept pigs off the threshing floor when the doors were open.	the	doors	open	the doors	2	(NP (DT the) (NNS doors))
187205:81	this aim could have been frustrated by the need to keep costs to the minimum in order to maintain the economic viability of the project, but both requirements were satisfied by confining all new openings to the roofs of the aisle and the nave.	both	requirements	satisfied	both requirements	2	(NP (DT both) (NNS requirements))
187831:29	the existing roof covering was completely stripped and the rafters were brush-cleaned.	the	rafters	brush-cleaned	the rafters	2	(NP (DT the) (NNS rafters))
189373:5	both men were silent for a moment then, clutching at a straw, herr nordern said," it must be something to do with you.	both	men	silent	both men	2	(NP (DT Both) (NNS men))
191451:15	if either of these sentences were true, the story would not have been worth telling, since the conversion would have been a purely fanciful affair which bore no relevance to lewis at the deepest levels of his being.	these	sentences	true	these sentences	2	(NP (DT these) (NNS sentences))
191537:28	it was cancer of the bowel, though the doctors were slow or unwilling to diagnose it at first.	the	doctors	slow	the doctors	2	(NP (DT the) (NNS doctors))
200177:21	the smells from the grass and the hedges were strange and fresh and exciting.	the	hedges	strange	the hedges	2	(NP (DT the) (NNS hedges))
203484:5	the liturgies were wonderful, and in small crowded mud huts great praise and thanksgiving was offered to almighty god.	the	liturgies	wonderful	the liturgies	2	(NP (DT The) (NNS liturgies))
203898:12	in each case the studios were able to produce a steady supply of good, sometimes amazing, films.	the	studios	able	the studios	2	(NP (DT the) (NNS studios))
204118:68	but the problem was that british exhibitors didn't produce a sufficiently reliable supply of quality product to ensure that any of these efforts were long-lasting.	these	efforts	long-lasting	these efforts	2	(NP (DT these) (NNS efforts))
204171:25	the strategy worked in both cases, and the producers were able to turn their initial successes into the resilience required to survive the setbacks that followed.	the	producers	able	the producers	2	(NP (DT the) (NNS producers))
204451:42	production rose from 153 films in 1932 to 212 in 1936, and the returns were insufficient to justify such expansion.	the	returns	insufficient	the returns	2	(NP (DT the) (NNS returns))
205062:140	the need to compete with television, and with the sort of films the americans were making, meant that producers had to make spectaculars, which they couldn't afford to do, or the sort of brave and adventurous pictures that the circuits were reluctant to accommodate.	the	circuits	reluctant	the circuits	2	(NP (DT the) (NNS circuits))
205123:20	as historical re-creation or biography, these films were interesting, as cinema they were nowhere.	these	films	interesting	these films	2	(NP (DT these) (NNS films))
207740:15	" i thought the clothes were great," says alison, who combines a full-time job for british sky broadcasting, newsreading and presenting a current affairs/magazine programme with hosting the quiz show, run the gauntlet, for itv.	the	clothes	great	the clothes	2	(NP (DT the) (NNS clothes))
209433:17	the question of whether the convictions were safe, and the need for a review to allay public anxiety in the light of the guildford findings, is raised in a statement by the joint presidents of the birmingham council of christian churches: the most reverend maurice couve de murville, archbishop of birmingham; the right reverend mark santer, bishop of birmingham; and the reverend david good, representing the birmingham free churches.	the	convictions	safe	the convictions	2	(NP (DT the) (NNS convictions))
209521:33	mr chris spry, for the london ambulance service, said the police were unable to meet the demand for accident services, particularly those phoned through to hospitals from family doctors.	the	police	unable	the police	2	(NP (DT the) (NNS police))
215439:37	let me put his mind at rest: any notion that the police were impartial disappeared with their behaviour in the miners' strike.	the	police	impartial	the police	2	(NP (DT the) (NNS police))
216096:5	the omens were bad, and when the hammersmith show eventually got going it seemed we were in for an all-time rock" n" roll disaster.	the	omens	bad	the omens	2	(NP (DT The) (NNS omens))
216627:5	the risks were high and the casualties many.	the	risks	high	the risks	2	(NP (DT The) (NNS risks))
218432:48	dr kellett, who gave evidence of his post-mortem examination, said most of the injuries were consistent with blows from the flex, either looped or in a straight line.	the	injuries	consistent	the injuries	2	(NP (DT the) (NNS injuries))
221414:16	dismissing the argument that the directives were unreasonable, perverse or out of proportion, the judge said that perhaps the most startling feature of them was how little they restricted the supply of the" oxygen of publicity" to the specified organisations.	the	directives	unreasonable	the directives	2	(NP (DT the) (NNS directives))
221838:20	the prosecutor apologised, saying the allegations were unfounded.	the	allegations	unfounded	the allegations	2	(NP (DT the) (NNS allegations))
222433:16	the journalists submitted that the directives were unlawful because they conflicted with the duty of the bbc and iba under section 4 of the 1981 act to preserve" due impartiality".	the	directives	unlawful	the directives	2	(NP (DT the) (NNS directives))
223728:32	suspended in water, only the gem for which the antibodies were specific will attach to the beads.	the	antibodies	specific	the antibodies	2	(NP (DT the) (NNS antibodies))
225472:42	the bbc's solicitor, mr sean mcternan, said they accepted that the allegations were false and should not have been broadcast.	the	allegations	false	the allegations	2	(NP (DT the) (NNS allegations))
235991:4	the shots were indicative of the extra variety that soutter has added to her game since she was last british national champion four years ago.	the	shots	indicative	the shots	2	(NP (DT The) (NNS shots))
237147:81	--lrb- not least is cold comfort farm to be treasured for the fact that an american literary critic took it straight, commenting that some of the characters were overdrawn. --rrb-	the	characters	overdrawn.	the characters	2	(NP (DT the) (NNS characters))
241419:4	some stores were bright on reports of an eleventh-hour christmas buying spree.	some	stores	bright	some stores	2	(NP (DT Some) (NNS stores))
242436:17	conservative loyalists rallied, but the rebels were bitter.	the	rebels	bitter	the rebels	2	(NP (DT the) (NNS rebels))
244054:5	some internees were resident german-speakers, british only by background; others were a large squad of merchant navy officers and seamen, british to their tough cores.	some	internees	resident	some internees	2	(NP (DT Some) (NNS internees))
246173:86	the government admitted last night that it kept no statistics of unofficial strikes although mr norman fowler, employment secretary, said yesterday that 75 per cent of all strikes were unofficial.	all	strikes	unofficial	all strikes	2	(NP (DT all) (NNS strikes))
252880:29	the convicts became more and more upset, the guards were afraid, but they kept getting orders from above telling them to maintain these random violations of the equilibrium.	the	guards	afraid	the guards	2	(NP (DT the) (NNS guards))
254529:5	the provinces were reluctant to accept the change from casements, but once they did, the whole look of england's houses changed and the georgian period of architecture became easily definable.	the	provinces	reluctant	the provinces	2	(NP (DT The) (NNS provinces))
254983:124	whereas architectural changes in the small country house had been slowly transitional in the last four hundred years, so that you hardly noticed the slipping of one style into another over, say, a period of fifty years, now the changes were radical and sometimes startling.	the	changes	radical	the changes	2	(NP (DT the) (NNS changes))
255658:11	some of the places were extraordinary that we played.	the	places	extraordinary	the places	2	(NP (DT the) (NNS places))
256415:126	he wanted to do a bit before new york and it worked because before the tour started, there was very little interest in new york, but it sold out in cleveland which we knew it would, and both shows were great, by which time word got back to new york instantly, as it does, and by the time the show at carnegie hall happened, it was sold out.	both	shows	great	both shows	2	(NP (DT both) (NNS shows))
