workerid,predicate,utterance,response,context,sentence_type
1,tall,wide,0,random,coll
1,tall,wide,1,random,dist
1,tall,small,1,random,dist
1,tall,small,0,random,coll
1,tall,humongous,1,random,dist
1,tall,humongous,0,random,coll
1,tall,huge,0,random,coll
1,tall,huge,1,random,dist
1,tall,thin,0,random,coll
1,tall,thin,1,random,dist
1,tall,slight,0.19,random,dist
1,tall,slight,0.82,random,coll
1,tall,short,0,random,dist
1,tall,short,1,random,coll
2,tall,narrow,0.29,regular,dist
2,tall,narrow,0.63,regular,coll
2,tall,deep,0.46,regular,coll
2,tall,deep,0.17,regular,dist
2,tall,humongous,0.08,regular,dist
2,tall,humongous,0.68,regular,coll
2,tall,low,0.29,regular,dist
2,tall,low,0.01,regular,coll
2,tall,flat,0.03,regular,coll
2,tall,flat,0.34,regular,dist
2,tall,thin,0.14,regular,dist
2,tall,thin,0.21,regular,coll
2,tall,tall,0.13,regular,dist
2,tall,tall,0.79,regular,coll
2,tall,skinny,0.38,regular,coll
2,tall,skinny,0.17,regular,dist
2,tall,fat,0.2,regular,coll
2,tall,fat,0.43,regular,dist
2,tall,full,0.88,regular,dist
2,tall,full,0.04,regular,coll
2,tall,long,0.32,regular,dist
2,tall,long,0.12,regular,coll
2,tall,large,0.19,regular,dist
2,tall,large,0.6,regular,coll
2,tall,tiny,0.52,regular,dist
2,tall,tiny,0.1,regular,coll
2,tall,lengthy,0.55,regular,coll
2,tall,lengthy,0.06,regular,dist
2,tall,heavy,0.06,regular,dist
2,tall,heavy,0.85,regular,coll
2,tall,huge,0.68,regular,coll
2,tall,huge,0.09,regular,dist
2,tall,short,0.05,regular,coll
2,tall,short,0.51,regular,dist
2,tall,mini,0.07,regular,coll
2,tall,mini,0.38,regular,dist
2,tall,slight,0.06,regular,coll
2,tall,slight,0.31,regular,dist
2,tall,little,0.44,regular,dist
2,tall,little,0.05,regular,coll
2,tall,small,0.48,regular,dist
2,tall,small,0.05,regular,coll
2,tall,high,0.05,regular,dist
2,tall,high,0.86,regular,coll
2,tall,thick,0.18,regular,coll
2,tall,thick,0.34,regular,dist
2,tall,wide,0.13,regular,coll
2,tall,wide,0.33,regular,dist
2,tall,big,0.16,regular,dist
2,tall,big,0.69,regular,coll
3,tall,narrow,0.43,random,dist
3,tall,narrow,0.41,random,coll
3,tall,humongous,0.3,random,coll
3,tall,humongous,0.18,random,dist
3,tall,thin,0.25,random,dist
3,tall,thin,0.12,random,coll
3,tall,thick,0.33,random,coll
3,tall,thick,0.16,random,dist
3,tall,mini,0.16,random,coll
3,tall,mini,0.08,random,dist
3,tall,slight,0.14,random,dist
3,tall,slight,0.07,random,coll
3,tall,wide,0.24,random,dist
3,tall,wide,0.18,random,coll
3,tall,heavy,0.39,random,dist
3,tall,heavy,0.41,random,coll
3,tall,lengthy,0.27,random,coll
3,tall,lengthy,0.18,random,dist
3,tall,full,0.21,random,dist
3,tall,full,0.4,random,coll
3,tall,deep,0.15,random,coll
3,tall,deep,0.12,random,dist
3,tall,large,0.16,random,dist
3,tall,large,0.17,random,coll
3,tall,skinny,0.18,random,coll
3,tall,skinny,0.1,random,dist
3,tall,small,0.11,random,dist
3,tall,small,0.05,random,coll
3,tall,long,0.2,random,coll
3,tall,long,0.14,random,dist
3,tall,flat,0,random,dist
3,tall,flat,0,random,coll
3,tall,big,0.28,random,coll
3,tall,big,0.21,random,dist
3,tall,tall,0.14,random,coll
3,tall,tall,0.31,random,dist
3,tall,short,0.09,random,coll
3,tall,short,0.04,random,dist
3,tall,fat,0.17,random,coll
3,tall,fat,0.34,random,dist
3,tall,high,0.14,random,coll
3,tall,high,0.1,random,dist
3,tall,little,0.06,random,coll
3,tall,little,0.03,random,dist
3,tall,huge,0.14,random,coll
3,tall,huge,0.22,random,dist
3,tall,low,0.17,random,dist
3,tall,low,0.18,random,coll
3,tall,tiny,0.11,random,coll
3,tall,tiny,0.04,random,dist
4,tall,humongous,0.93,regular,coll
4,tall,humongous,0.06,regular,dist
4,tall,high,0.06,regular,dist
4,tall,high,0.92,regular,coll
4,tall,mini,0.88,regular,dist
4,tall,mini,0.07,regular,coll
4,tall,flat,0.8,regular,dist
4,tall,flat,0.05,regular,coll
4,tall,lengthy,0.93,regular,coll
4,tall,lengthy,0.11,regular,dist
4,tall,thin,0.88,regular,dist
4,tall,thin,0.88,regular,coll
4,tall,slight,0.92,regular,dist
4,tall,slight,0.05,regular,coll
4,tall,big,0.07,regular,dist
4,tall,big,0.88,regular,coll
4,tall,wide,0.7,regular,coll
4,tall,wide,0.71,regular,dist
4,tall,long,0.83,regular,coll
4,tall,long,0.15,regular,dist
4,tall,large,0.13,regular,dist
4,tall,large,0.84,regular,coll
4,tall,huge,0.87,regular,coll
4,tall,huge,0.1,regular,dist
4,tall,low,0.1,regular,coll
4,tall,low,0.83,regular,dist
4,tall,thick,0.25,regular,dist
4,tall,thick,0.83,regular,coll
4,tall,heavy,0.47,regular,dist
4,tall,heavy,0.86,regular,coll
4,tall,full,0.84,regular,dist
4,tall,full,0.83,regular,coll
4,tall,short,0.08,regular,coll
4,tall,short,0.8,regular,dist
4,tall,tiny,0.77,regular,dist
4,tall,tiny,0.24,regular,coll
4,tall,tall,0.91,regular,coll
4,tall,tall,0.14,regular,dist
4,tall,little,0.07,regular,coll
4,tall,little,0.83,regular,dist
4,tall,small,0.11,regular,coll
4,tall,small,0.78,regular,dist
4,tall,deep,0.68,regular,coll
4,tall,deep,0.26,regular,dist
4,tall,fat,0.72,regular,dist
4,tall,fat,0.24,regular,coll
4,tall,skinny,0.87,regular,coll
4,tall,skinny,0.86,regular,dist
4,tall,narrow,0.81,regular,dist
4,tall,narrow,0.83,regular,coll
